City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,west island,-12.1568,96.8225,78.78,94,75,6.91,CC,1706826865
123,kyaukse,21.6,96.1333,62.29,43,1,4.23,MM,1706826865
124,invercargill,-46.4,168.35,50.02,96,100,8.99,NZ,1706826866
125,tazovsky,67.4667,78.7,9.84,94,100,18.54,RU,1706826866
126,bilibino,68.0546,166.4372,-45.49,96,7,4.23,RU,1706826866
127,port lincoln,-34.7333,135.8667,65.57,75,6,10.11,AU,1706826866
128,mont-de-marsan,44.0,-0.6667,53.78,100,100,2.3,FR,1706826866
129,dudinka,69.4058,86.1778,6.62,91,100,24.7,RU,1706826866
130,klyuchi,52.2667,79.1667,20.16,94,100,9.31,RU,1706826867
131,wellington,-41.2866,174.7756,69.46,73,75,27.63,NZ,1706826777
132,punta arenas,-53.15,-70.9167,55.51,47,20,49.48,CL,1706826867
133,itoman,26.1247,127.6694,72.37,86,20,6.91,JP,1706826867
134,alice springs,-23.7,133.8833,72.95,21,1,4.61,AU,1706826867
135,isafjordur,66.0755,-23.124,32.52,91,89,7.67,IS,1706826868
136,tura,25.5198,90.2201,56.35,75,3,2.73,IN,1706826868
137,saint-philippe,-21.3585,55.7679,78.39,85,97,17.56,RE,1706826868
138,papatowai,-46.5619,169.4708,51.96,91,100,10.29,NZ,1706826868
139,hasaki,35.7333,140.8333,37.29,69,100,16.67,JP,1706826869
140,atafu village,-8.5421,-172.5159,82.56,80,99,20.65,TK,1706826869
141,kodiak,57.79,-152.4072,27.91,64,100,12.66,US,1706826869
142,bandar-e lengeh,26.5579,54.8807,70.81,60,71,12.57,IR,1706826869
143,port augusta,-32.5,137.7667,74.01,44,0,13.11,AU,1706826869
144,saipan,15.1355,145.701,79.5,78,75,19.57,MP,1706826870
145,rouyn-noranda,48.2398,-79.0288,23.09,86,100,10.36,CA,1706826870
146,greenville,35.6127,-77.3663,53.64,61,0,3.44,US,1706826610
147,doka,13.5167,35.7667,67.95,14,4,13.24,SD,1706826870
148,kapa'a,22.0752,-159.319,78.78,74,20,6.91,US,1706826870
149,jaisinghnagar,23.7,81.3833,58.37,52,32,4.21,IN,1706826871
150,carnarvon,-24.8667,113.6333,76.98,81,69,8.23,AU,1706826871
151,shasta lake,40.6804,-122.3708,57.92,75,94,1.01,US,1706826871
